time_s,force_dt001_N,u_dt001_m,v_dt001_mps,a_dt001_mps2,force_dt01_interp_N,u_dt01_interp_m,v_dt01_interp_mps,a_dt01_interp_mps2,du_dt01minusdt001_m,dv_dt01minusdt001_mps,da_dt01minusdt001_mps2
3.500000000000000333e-01,3.750000000000000000e+04,2.438608864009366578e-02,9.983901510558519654e-02,-1.008126431533941991e+00,3.750000000000000000e+04,2.320746114843949548e-02,9.656725933438024823e-02,-4.861538225616416353e-01,-1.178627491654170301e-03,-3.271755771204948315e-03,5.219726089723003559e-01
3.599999999999999867e-01,3.780000000000000000e+04,2.533205560094549044e-02,8.935437706477974973e-02,-1.088801176627146594e+00,3.780000000000000000e+04,2.417313374178329394e-02,9.170572110876384908e-02,-6.838299211416895007e-01,-1.158921859162196505e-03,2.351344043984099352e-03,4.049712554854570934e-01
3.699999999999999956e-01,3.810000000000000000e+04,2.617045301180268013e-02,7.832510510665817438e-02,-1.117053214997167254e+00,3.810000000000000000e+04,2.513880633512709933e-02,8.684418288314743606e-02,-8.815060197217386984e-01,-1.031646676675580798e-03,8.519077776489261677e-03,2.355471952754285558e-01
3.800000000000000044e-01,3.840000000000000000e+04,2.689825026977344519e-02,6.723434648749485043e-02,-1.101098508835498313e+00,3.840000000000000000e+04,2.610447892847090126e-02,8.198264465753100916e-02,-1.079182118301787785e+00,-7.937713413025439257e-04,1.474829817003615873e-02,2.191639053371052803e-02
3.900000000000000133e-01,3.870000000000000000e+04,2.751683470005341151e-02,5.648253956849839941e-02,-1.049262874963791115e+00,3.870000000000000000e+04,2.707015152181470319e-02,7.712110643191458226e-02,-1.276858216881836761e+00,-4.466831782387083172e-04,2.063856686341618285e-02,-2.275953419180456461e-01
4.000000000000000222e-01,3.900000000000000000e+04,2.803118676917818602e-02,4.638787425645650442e-02,-9.696701874445883274e-01,3.900000000000000000e+04,2.803582411515850858e-02,7.225956820629816924e-02,-1.474534315461885736e+00,4.637345980322560290e-06,2.587169394984166482e-02,-5.048641280172974088e-01
4.100000000000000311e-01,3.910000000000000000e+04,2.844781924079424831e-02,3.693862006675595333e-02,-9.201806504955210020e-01,3.910000000000000000e+04,2.829301916938641026e-02,6.295155564959659111e-02,-1.365787703503539952e+00,-1.548000714078380524e-04,2.601293558284063778e-02,-4.456070530080189496e-01
4.199999999999999845e-01,3.920000000000000000e+04,2.877302450441975024e-02,2.810243265834443116e-02,-8.470568311867834321e-01,3.920000000000000000e+04,2.855021422361431541e-02,5.364354309289505462e-02,-1.257041091545194833e+00,-2.228102808054348294e-04,2.554111043455062346e-02,-4.099842603584114009e-01
4.299999999999999933e-01,3.930000000000000000e+04,2.901394692860820648e-02,2.008205217934681819e-02,-7.570192646127387182e-01,3.930000000000000000e+04,2.880740927784221708e-02,4.433553053619346263e-02,-1.148294479586849048e+00,-2.065376507659894001e-04,2.425347835684664444e-02,-3.912752149741103302e-01
4.400000000000000022e-01,3.940000000000000000e+04,2.917943691441847801e-02,1.301594498270748981e-02,-6.562021747151269846e-01,3.940000000000000000e+04,2.906460433207012223e-02,3.502751797949187756e-02,-1.039547867628503264e+00,-1.148325823483557773e-04,2.201157299678438775e-02,-3.833456929133762792e-01
